GEO_ID,NAME,S1901_C01_012E
45001,"Abbeville County, South Carolina",38741
45003,"Aiken County, South Carolina",51399
45005,"Allendale County, South Carolina",27185
45007,"Anderson County, South Carolina",50865
45009,"Bamberg County, South Carolina",31422
45011,"Barnwell County, South Carolina",35803
45013,"Beaufort County, South Carolina",68377
45015,"Berkeley County, South Carolina",63309
45017,"Calhoun County, South Carolina",46339
45019,"Charleston County, South Carolina",64022
45021,"Cherokee County, South Carolina",36883
45023,"Chester County, South Carolina",42442
45025,"Chesterfield County, South Carolina",41505
45027,"Clarendon County, South Carolina",40900
45029,"Colleton County, South Carolina",36324
45031,"Darlington County, South Carolina",38448
45033,"Dillon County, South Carolina",30812
45035,"Dorchester County, South Carolina",63080
45037,"Edgefield County, South Carolina",49127
45039,"Fairfield County, South Carolina",38213
45041,"Florence County, South Carolina",47058
45043,"Georgetown County, South Carolina",48456
45045,"Greenville County, South Carolina",60351
45047,"Greenwood County, South Carolina",42336
45049,"Hampton County, South Carolina",33429
45051,"Horry County, South Carolina",50704
45053,"Jasper County, South Carolina",45601
45055,"Kershaw County, South Carolina",51479
45057,"Lancaster County, South Carolina",58849
45059,"Laurens County, South Carolina",43304
45061,"Lee County, South Carolina",32371
45063,"Lexington County, South Carolina",61173
45065,"McCormick County, South Carolina",43633
45067,"Marion County, South Carolina",32063
45069,"Marlboro County, South Carolina",33586
45071,"Newberry County, South Carolina",44226
45073,"Oconee County, South Carolina",49134
45075,"Orangeburg County, South Carolina",37955
45077,"Pickens County, South Carolina",49573
45079,"Richland County, South Carolina",54767
45081,"Saluda County, South Carolina",45714
45083,"Spartanburg County, South Carolina",52332
45085,"Sumter County, South Carolina",45661
45087,"Union County, South Carolina",41186
45089,"Williamsburg County, South Carolina",32485
45091,"York County, South Carolina",65361